system_id,entry_pdb_id,ligand_instance_chain,ligand_smiles,sucos_shape_pocket_qcov,prb_bin,formal_charge,charge_bucket,is_charged,hbd,hba,hb_sum,ligand_tpsa,hac,hac_bucket,A_elec,A_hb,A_desolv,ligand_molecular_weight,ligand_num_rot_bonds,ligand_num_rings,ligand_num_pocket_residues,num_training_systems_with_similar_ccds,cluster
7q8q__1__1.A__1.C_1.E_1.J,7q8q,1.C,CC(C)C[C@H](NC(=O)[C@@H](N)CCCNC(N)=[NH2+])C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@H](C=O)CCCC[NH3+],31.52398586592228,30-40,2,pos,True,15,15,30,271.0,39,drug,True,True,True,559.3794831281799,20,0,24,0,c579
8swq__1__1.A_1.C__1.G_1.H,8swq,1.G,O=c1[nH]cnc2c(C[NH+]3C[C@H](CO)[C@@H](O)C3)c[nH]c12,31.57388287602056,30-40,1,pos,True,5,7,12,106.44,19,frag,True,True,True,265.12951682409,3,3,24,75,c938
5si5__1__1.A__1.G,5si5,1.G,CCCc1nc(C)c2c(NS(C)(=O)=O)nc3ccc(OC)nc3n12,39.617999143245854,30-40,0,neu,False,1,8,9,98.48,24,drug,True,True,True,349.12086046800005,5,3,24,0,c2
7rwf__1__1.A__1.C,7rwf,1.C,O=C(O)c1cc([N+](=O)[O-])ccc1NCCc1c[nH]c2ccccc12,35.85546648536865,30-40,0,neu,False,3,7,10,108.26,24,drug,True,True,True,325.10625596000006,6,3,30,0,c141
5skr__1__1.A__1.G,5skr,1.G,Cn1cc(-c2ccncc2)c(C(=O)Nc2cc(-c3ccccn3)nn2C)n1,38.512031465727496,30-40,0,neu,False,1,8,9,90.52,27,drug,True,True,True,359.1494581640001,4,4,25,0,c2
7nzn__1__1.A_2.A__1.B,7nzn,1.B,Cc1cc(Nc2cc(-c3cnn(CCN(C)C)c3)nc(Nc3ccc(CC(=O)Nc4cccc(F)c4)cc3)n2)[nH]n1,35.62982800997163,30-40,0,neu,False,4,11,15,128.68,41,drug,True,True,True,554.266633832,11,5,39,0,c362
7dyw__1__1.A__1.B_1.C,7dyw,1.B,COc1ccccc1CNc1cnc(C(=O)O)cc1C(=O)O,36.87190420629078,30-40,0,neu,False,3,7,10,108.75,22,drug,True,True,True,302.090271548,6,2,25,0,c745
8cjj__1__1.A__1.B_1.C,8cjj,1.C,CCn1c(=O)[nH]c(=O)c2c1nc(Cc1cn3c(n1)CCCC3)n2Cc1ccccc1,30.8870016552908,30-40,0,neu,False,1,8,9,90.5,30,drug,True,True,True,404.196074008,5,5,31,0,c34
7ome__1__1.A__1.B,7ome,1.B,O=c1n(Cc2ccc(O)cc2)nc2c(Cc3ccccc3)nc(-c3ccc(O)cc3)cn12,32.14286329418784,30-40,0,neu,False,2,7,9,92.65,32,drug,True,True,True,424.1535405,5,5,35,0,c711
7o1b__1__1.A__1.E,7o1b,1.E,O=P(O)(O)OC[C@H]1O[C@H](O[P@@](=O)([O-])O)[C@H](O)[C@@H](O)[C@@H]1O,46.294738493764434,40-50,-1,neg,True,6,12,18,206.27,20,frag,True,True,True,338.98877269591,5,1,21,122,c678
7r02__1__1.B__1.L,7r02,1.L,CCN(/C=C/CNC(=O)c1ccc(C)c([N+](=O)O)c1)CC,43.72101482817246,40-50,1,pos,True,2,6,8,72.65,21,drug,True,True,True,292.16556798409,7,1,21,0,c90
5sfc__1__1.A__1.G,5sfc,1.G,CN1NCC(C(=O)Nc2cc[n+]3c(n2)NC(c2ccccc2)C3)=C1C(=O)N1CCC1,40.72350190010695,40-50,1,pos,True,3,9,12,93.48,30,drug,True,True,True,406.19859942809,4,5,27,0,c2
8aev__1__1.A__1.G,8aev,1.G,O=C(C[n+]1ccccc1)NNCc1cc(C(O)O)nc(-c2ccccc2)n1,42.66516875576182,40-50,1,pos,True,4,8,12,111.25,27,drug,True,True,True,366.1560659200901,7,3,25,0,c90
7qyn__1__1.B__1.O,7qyn,1.O,Cc1ccc(C(=O)NCCCCC[n+]2ccccc2/C=N/O)cc1[N+](=O)[O-],43.29889399193979,40-50,1,pos,True,2,8,10,108.71,27,drug,True,True,True,371.17138163609,9,2,32,0,c90
8gfs__1__1.A__1.B,8gfs,1.B,CC(=O)N[C@H]1[NH2+]C[C@H](C(=O)O)[C@H](O)[C@@H]1O,49.866009896399895,40-50,1,pos,True,6,7,13,123.47,15,frag,True,True,True,219.09754800009,2,1,18,1,c39
7zeg__1__1.A__1.C,7zeg,1.C,Nc1nc2c(c(=O)[nH]1)[n+](Cc1ccc(F)c(F)c1)cn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,41.79918086980265,40-50,1,pos,True,7,13,20,197.03,33,drug,True,True,True,490.0933820580898,6,4,28,14,c969
5sk5__1__1.A__1.H,5sk5,1.H,Cn1ncc(C(=O)N2CCOCC2)c1C(=O)Nc1ccn2cc(-c3ccccc3)nc2c1,48.18909011679108,40-50,0,neu,False,1,9,10,93.76,32,drug,True,True,True,430.175338564,4,5,26,0,c2
7ghm__1__1.A_1.B__1.N_1.P,7ghm,1.N,O=C1C[C@H](Oc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)N1,46.629974449684056,40-50,0,neu,False,3,8,11,109.51999999999998,30,drug,True,True,True,427.09349835600005,7,4,26,0,c3
7vhz__1__1.A__1.F,7vhz,1.F,COc1ccc(C2(C(=O)N3CCC[C@@H]3C(=O)Nc3cccc4[nH]ncc34)CCCC2)cc1,46.55226530978441,40-50,0,neu,False,2,7,9,87.32000000000001,32,drug,True,True,True,432.2161407560001,5,5,28,0,c89
8cu7__1__1.A__1.C,8cu7,1.C,CCCCC#Cc1nc(N)c2nc(-c3cccs3)n([C@@H]3OC[C@@H](O)[C@H]3O)c2n1,43.15291703235445,40-50,0,neu,False,4,8,12,119.31,28,drug,True,True,True,399.136510532,4,4,29,0,c105
5skl__1__1.A__1.G,5skl,1.G,Cn1ncc(C(=O)N2CCOCC2)c1C(=O)Nc1cc2nc(-c3ccccc3)cn2cc1C#N,45.50207520967339,40-50,0,neu,False,1,10,11,117.55,34,drug,True,True,True,455.17058753200007,4,5,27,0,c2
8hfn__1__1.A__1.C_1.D,8hfn,1.C,COc1ccc(-c2cccc(S(=O)(=O)NC(=O)[C@@H](N)CS)c2)cn1,40.4395396346826,40-50,0,neu,False,3,7,10,111.38,24,drug,True,True,True,367.06604802400005,6,2,31,0,c850
7bcf__1__1.A__1.H,7bcf,1.H,O=C([O-])COc1ccc(N2C(=O)CCC2=O)cc1,55.19978733718896,50-60,-1,neg,True,0,6,6,86.74000000000001,18,frag,True,True,True,248.05644599991,4,2,24,0,c887
7zzt__1__1.A__1.D_1.J,7zzt,1.J,[NH3+][C@H](CCc1ccccc1)C(=O)N1CCCC1,54.477930730675006,50-60,1,pos,True,3,3,6,47.95,17,frag,True,True,True,233.16483971209,4,2,35,0,c16
7fz3__1__1.A__1.B,7fz3,1.B,O[S+](O)c1ccc(Oc2ccc(Cl)cc2)cc1,56.74535031856365,50-60,1,pos,True,2,3,5,49.69,17,frag,True,True,False,269.00336928009,3,2,29,0,c6
8pqr__1__1.A_1.B_1.C__1.E,8pqr,1.E,O=c1[nH]cnc2c(C[NH+]3C[C@H](CO)[C@@H](O)C3)c[nH]c12,56.811602719598426,50-60,1,pos,True,5,7,12,106.44,19,frag,True,True,True,265.12951682409,3,3,24,75,c290
7ngx__1__1.A__1.B,7ngx,1.B,CCCCCCCCCCCNC(=O)[N+]1CCC(C)CC1,54.64527680758152,50-60,1,pos,True,1,3,4,35.0,21,drug,True,True,False,296.28221519209,10,1,32,2,c29
7mjd__1__1.B__1.S,7mjd,1.S,COc1ccccc1-n1cc(-c2ccc(-c3ccccc3)cc2)[n+]2c1CCCCC2,56.06919861609679,50-60,1,pos,True,0,3,3,18.04,30,drug,True,False,False,395.2117899040901,4,5,21,0,c372
7ok1__1__1.A_1.B__1.D,7ok1,1.D,N#Cc1ccc(CN(Cc2nnc(N)o2)C(=O)CSc2ccccc2Cl)cc1,51.699419634664736,50-60,0,neu,False,2,7,9,109.04,28,drug,True,True,True,413.071323432,7,3,24,0,c57
7ysx__1__1.B__1.J,7ysx,1.J,CC(C)=CCc1c(O)ccc(-c2coc3cc(O)cc(O)c3c2=O)c1O,50.84203833605896,50-60,0,neu,False,4,6,10,111.13,26,drug,True,True,True,354.11033829599995,3,3,21,0,c12
7gbr__1__1.A_2.A__2.F,7gbr,2.F,O=C(NCCNc1ccccc1)c1cc(=O)[nH]c2ccccc12,59.21802523063465,50-60,0,neu,False,3,5,8,73.99000000000001,23,drug,True,True,True,307.132076784,5,3,22,0,c0
5sip__1__1.A__1.G,5sip,1.G,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2cc(-c3ccccc3)nc2n1,56.2396042381636,50-60,0,neu,False,1,9,10,97.42,30,drug,True,True,True,401.1600228480001,4,5,24,0,c2
5sgh__1__1.A__1.G,5sgh,1.G,Cn1cc(-c2ccccc2)nc1COc1nc(N2CCOCC2)c2cnn(C)c2n1,58.39572920435461,50-60,0,neu,False,0,9,9,83.11999999999999,30,drug,True,True,True,405.1913229760001,5,5,27,0,c2
7xuc__1__1.A__1.H,7xuc,1.H,CCCC[C@H](NC(=O)c1[nH]c2c(c1C)C(=O)CC(C)(C)C2)C(=O)Nc1ccccc1,55.84174041896638,50-60,0,neu,False,3,6,9,91.06,30,drug,True,True,True,409.236541852,7,3,21,0,c140
8sx4__1__1.A__1.C,8sx4,1.C,Nc1nc2c(c(=O)[nH]1)n(Cc1cc3cc(Cl)ccc3[nH]1)c[n+]2C/C=C\CP(=O)(O)O,64.25290441732747,60-70,1,pos,True,6,10,16,153.89999999999995,30,drug,True,True,True,449.08884381809,6,4,21,0,c561
7a9h__1__1.A_1.B__1.C_1.D,7a9h,1.D,Cc1ncc(C[n+]2csc(CCO[P@](=O)(O)OP(=O)(O)O)c2C)c(N)n1,62.35911663925136,60-70,1,pos,True,5,11,16,168.97000000000003,26,drug,True,True,True,425.04441962809,8,2,40,838,c84
8a0b__1__1.A__1.D_1.H,8a0b,1.H,O=C([C@H]1C[C@@H](c2ccccc2)C[NH2+]1)N1Cc2ccccc2C1,61.81808191222049,60-70,1,pos,True,2,3,5,36.92,22,drug,True,True,False,293.16483971209004,2,4,35,0,c16
7dox__1__1.A_1.B__1.E_1.F,7dox,1.F,C[n+]1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,65.76400123171862,60-70,1,pos,True,6,10,16,150.5,21,drug,True,True,True,298.11459503209,2,3,29,239,c298
7ziy__1__1.A__1.C,7ziy,1.C,CN(C)c1ccc2c(-c3cc(C(=O)NCCOCCOCCCCCNS(=O)(=O)C(F)(F)F)ccc3C(=O)O)c3ccc(=[N+](C)C)cc-3oc2c1,65.49982759099258,60-70,1,pos,True,3,12,15,150.41999999999996,51,large,True,True,True,735.2669963840901,17,4,35,14,c269
7zj0__1__1.A__1.C,7zj0,1.C,CN(C)c1ccc2c(-c3cc(C(=O)NCCOCCOCCCCCNS(C)(=O)=O)ccc3C(=O)O)c3ccc(=[N+](C)C)cc-3oc2c1,67.48350273915364,60-70,1,pos,True,3,12,15,150.41999999999996,48,large,True,True,True,681.29526182009,17,4,33,14,c269
8iui__1__1.A__1.C,8iui,1.C,CC(C)C[C@H](NC(=O)[C@@H](O)CC(=O)O)C(=O)NCCCCNC(N)=[NH2+],61.13260002999535,60-70,1,pos,True,9,10,19,179.37000000000003,25,drug,True,True,True,360.22414548009004,12,0,29,52,c690
7u31__1__1.A__1.D,7u31,1.D,CS(=O)(=O)N1CC(c2nc(N)ncc2-c2ccc(F)cc2)C1,65.55231730332092,60-70,0,neu,False,2,6,8,89.18,22,drug,True,True,True,322.08997494,3,3,22,0,c1
7u99__1__1.A__1.B,7u99,1.B,COc1cc2ncnc3c2cc1OCCOCCOCCOc1ccc(Cl)cc1N3,67.64745271189122,60-70,0,neu,False,1,8,9,83.96000000000002,30,drug,True,True,True,431.124798484,1,4,28,0,c1
7vdp__1__1.A__1.E_1.F,7vdp,1.E,OCc1ccn(-c2ccc(Nc3cc4nc(OC5CCNCC5)ccc4cn3)c(F)c2)n1,62.91850979792967,60-70,0,neu,False,3,8,11,97.12,32,drug,True,True,True,434.18665219600007,6,5,21,0,c1
8bgc__1__1.A__1.F,8bgc,1.F,O=C(O)c1ccc2c(c1)nc(NCc1ccccc1)c1ncncc12,69.3985454776859,60-70,0,neu,False,2,6,8,88.0,25,drug,True,True,True,330.11167568800005,4,4,22,0,c1
7v18__1__1.A__1.C,7v18,1.C,Cn1nncc1-c1cnn([C@H](CCOC(F)F)c2ccc(-c3c(-n4cc(Cl)nn4)ccc(Cl)c3F)c[n+]2[O-])c1,68.52737142251928,60-70,0,neu,False,0,11,11,115.41,39,drug,True,True,True,579.0912608360001,9,5,30,0,c53
7qhz__1__1.A__1.B,7qhz,1.B,[H]/N=C(\N)c1ccc(N2C[C@H](C(=O)N[C@@H](CC)c3cccc4ccccc34)OC2=O)cc1,64.26875211799162,60-70,0,neu,False,4,7,11,108.51000000000002,31,drug,True,True,True,416.184840628,6,4,29,0,c229
7qh1__1__1.A__1.E_1.F,7qh1,1.F,COc1cc2sc(CNC(=O)C3(CC(=O)O)Cc4cc(F)c(F)cc4C3)nc2cc1OCCC[N+](C)(CCO)CCO,72.59684333425389,70-80,1,pos,True,4,10,14,138.21,42,drug,True,True,True,608.2236543520901,15,4,26,0,c161
7p5i__1__1.A__1.D,7p5i,1.D,CN(C)C(=O)c1cccc(-c2cccc(-n3ncc(C(=O)O)c3[C@@H]3C[C@H]3c3cn(C)nn3)c2)c1,76.35230901978348,70-80,0,neu,False,1,9,10,106.14,34,drug,True,True,True,456.190988628,6,5,34,0,c42
7knr__1__1.A__1.B_1.C_1.D,7knr,1.D,COc1cc(CCNC(=O)c2[nH]c(-c3c(F)cccc3F)nc(=O)c2O)ccc1O,76.58624674807984,70-80,0,neu,False,4,8,12,124.54,30,drug,True,True,True,417.113627084,6,3,19,0,c30
7gm8__1__1.A_1.B__1.I,7gm8,1.I,CNC(=O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3cc(Cl)ccc23)C1,79.65535641853036,70-80,0,neu,False,2,6,8,74.33000000000001,30,drug,True,True,True,442.09633124,4,4,22,0,c0
7pri__1__1.A__1.C_1.F,7pri,1.F,Nc1cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,72.55052625431166,70-80,0,neu,False,6,7,13,146.34,20,frag,True,True,True,378.902180776,3,1,23,0,c8
7gla__1__1.A_1.B__1.I,7gla,1.I,CC(C)(O)c1ccc2cncc(NC(=O)[C@@H]3CCNc4ccc(Cl)cc43)c2c1,78.28711535393222,70-80,0,neu,False,3,5,8,74.25,28,drug,True,True,True,395.140054624,3,4,22,0,c0
8v4j__1__1.A_3.A_4.A__3.C_4.B,8v4j,4.B,O=CN(O)C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,79.87488463198422,70-80,0,neu,False,6,10,16,167.99,17,frag,True,True,True,275.040617658,8,0,30,0,c297
7gm1__1__1.A_1.B__1.I,7gm1,1.I,CNC(=O)CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccc(NS(C)(=O)=O)cc23)C1,73.12141832760199,70-80,0,neu,False,3,9,12,120.5,34,drug,True,True,True,501.123752928,6,4,22,0,c0
8u8j__1__1.A__1.B,8u8j,1.B,CC[C@H](C)Cc1nnc2cc(-c3ccnc(Nc4ccnn4C)n3)ccn12,70.36103712305463,70-80,0,neu,False,1,8,9,85.82000000000001,27,drug,True,True,True,362.1967427040001,6,4,28,0,c1
8cbh__1__1.A__1.C,8cbh,1.C,Cc1csc([C@@]2(CN)[C@@H]3CCN(c4cnc5c(-c6cccc(Cl)c6Cl)[nH]nc5n4)C[C@@H]32)n1,71.1669137910541,70-80,0,neu,False,3,7,10,96.61,32,drug,True,True,True,485.0956200320001,4,6,26,0,c60
7nr8__1__1.A__1.F_1.I,7nr8,1.I,C[C@H](C(=O)N[C@H](CO)c1cccc(N2CCN(C)CC2)n1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,72.52426203551751,70-80,0,neu,False,3,12,15,136.05,45,drug,True,True,True,634.278279408,9,6,41,0,c144
7gmw__1__1.A_1.B__1.E_1.J,7gmw,1.J,CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,77.70440227111679,70-80,0,neu,False,2,7,9,91.4,31,drug,True,True,True,440.105146336,4,4,23,0,c0
7k4h__1__1.F__1.V_1.W_1.X,7k4h,1.X,O=C(O)[C@@]12CCN[C@@H](CN1)[C@H]2CCC[B-](O)(O)O,88.59035936250032,80-100,-1,neg,True,6,7,13,122.05,18,frag,True,True,True,259.14707571991,5,2,27,0,c88
7k4g__1__1.B__1.J_1.K_1.L,7k4g,1.L,O=C(O)[C@H]1NCC[C@H]1CCC[B-](O)(O)O,97.8197287955331,80-100,-1,neg,True,5,6,11,110.02,15,frag,True,True,True,218.12052662391,5,1,24,0,c88
7k4i__1__1.B__1.J_1.K_1.L,7k4i,1.L,O=C(O)[C@H]1NC[C@@H]2SC[C@@]21CCC[B-](O)(O)O,87.74373919565731,80-100,-1,neg,True,5,6,11,110.02,17,frag,True,True,True,262.09259762391,5,2,27,0,c88
7k4j__1__1.E__1.S_1.T_1.U,7k4j,1.U,O=C(O)[C@H]1NC[C@@H]2NC[C@@]21CCC[B-](O)(O)O,94.23270289671564,80-100,-1,neg,True,6,7,13,122.05,17,frag,True,True,True,245.13142565591,5,2,26,0,c88
7pdt__1__1.A__1.E,7pdt,1.E,CC1(C)CCC(C)(C)c2cc(C3(c4ccc(C(=O)[O-])cc4)OCCO3)ccc21,81.8585054972527,80-100,-1,neg,True,0,4,4,58.59,28,drug,True,True,False,379.19148292391,3,4,32,6,c47
7gcf__1__1.A_2.A__2.E,7gcf,2.E,O=C(Cc1cccc(Cl)c1)Nn1cn[nH]c1=O,84.933346687389,80-100,0,neu,False,2,6,8,79.78,17,frag,True,True,True,252.041403208,3,2,22,0,c0
7gi2__1__1.A_1.B__1.E_1.F_1.H_1.J,7gi2,1.F,NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,84.92730952600076,80-100,0,neu,False,3,5,8,77.24000000000001,26,drug,True,True,True,367.108754496,3,4,23,0,c0
8s98__1__1.A__1.D,8s98,1.D,CNc1cc(Nc2cccnc2OC)nc2c(C(=O)NC3CC3)cnn12,85.11598830153491,80-100,0,neu,False,3,9,12,105.47,26,drug,True,True,True,353.1600228480001,6,4,22,0,c318
